Celda	UTM[x]	UTM[y]
1	4.821325e+05	2.139072e+06
2	4.821325e+05	2.138322e+06
3	4.821325e+05	2.137572e+06
4	4.828825e+05	2.139072e+06
5	4.828825e+05	2.138322e+06
6	4.828825e+05	2.137572e+06
7	4.836325e+05	2.139072e+06
8	4.836325e+05	2.138322e+06
9	4.836325e+05	2.137572e+06
10	4.843825e+05	2.139072e+06
11	4.843825e+05	2.138322e+06
12	4.843825e+05	2.137572e+06
13	4.851325e+05	2.139072e+06
14	4.851325e+05	2.138322e+06
15	4.851325e+05	2.137572e+06
