Celda	UTM[x]	UTM[y]
1	485761	2.138112e+06
2	485761	2.137462e+06
3	485761	2.136812e+06
4	486411	2.138112e+06
5	486411	2.137462e+06
6	486411	2.136812e+06
7	487061	2.138112e+06
8	487061	2.137462e+06
9	487061	2.136812e+06
10	487711	2.138112e+06
11	487711	2.137462e+06
12	487711	2.136812e+06
13	488361	2.138112e+06
14	488361	2.137462e+06
15	488361	2.136812e+06
