0.370000	120.651680
0.388966	110.586582
0.407931	101.937950
0.426897	95.061618
0.445862	89.564808
0.464828	84.811803
0.483793	80.409678
0.502759	76.421145
0.521724	72.646301
0.540690	69.023926
0.559655	65.571797
0.578621	62.244990
0.597586	59.030981
0.616552	55.965193
0.635517	53.015919
0.654483	50.196638
0.673448	47.733483
0.692414	45.555076
0.711379	43.671172
0.730345	42.172023
0.749310	40.898347
0.768276	39.932502
0.787241	39.193508
0.806207	38.617009
0.825172	38.464590
0.844138	38.512228
0.863103	38.606031
0.882069	38.778613
0.901034	39.161910
0.920000	39.678322
